,training_dates,testing_dates,model_type,clf,parameters,baseline,auc-roc,a_at_5,a_at_20,a_at_50,f1_at_5,f1_at_20,f1_at_50,p_at_1,p_at_5,p_at_10,p_at_20,p_at_50,r_at_1,r_at_5,r_at_10,r_at_20,r_at_50
0,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=1,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 50, 'subsample': 0.5}",0.2569279493269992,0.6370254092367453,0.6931603629940922,0.5882209635178757,0.5827395091053048,0.00019845207382417144,0.09877366035723806,0.44874476987447703,0.003048780487804878,0.0006093845216331506,0.0003045994517209869,0.11283691183188671,0.33966745843230406,0.00011852554225435582,0.00011852554225435582,0.00011852554225435582,0.08782742681047766,0.6610169491525424
1,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=1,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 100, 'subsample': 0.5}",0.2569279493269992,0.6477371217233225,0.6931603629940922,0.6764723795602655,0.588586393812047,0.00019845207382417144,0.2919221540922421,0.45646926295461865,0.003048780487804878,0.0006093845216331506,0.28845568077977457,0.3334856098675194,0.3455143431390462,0.00011852554225435582,0.00011852554225435582,0.11224368851487496,0.25957093753703925,0.6723954012089606
2,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=1,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 50, 'subsample': 0.5}",0.2569279493269992,0.6576088820022974,0.7334795054510019,0.7011998294658627,0.5868201473902186,0.13157372494542569,0.3460410557184751,0.45413582233665917,0.38109756097560976,0.4040219378427788,0.4032896740785867,0.3953098827470687,0.34374809671721784,0.014815692781794476,0.07858243451463791,0.1569278179447671,0.3076923076923077,0.6689581604835843
3,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-06-30 00:00:00'))","(Timestamp('2012-07-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=1,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 100, 'subsample': 0.5}",0.2569279493269992,0.6617563579316328,0.7340885559412875,0.7026006455935198,0.5889518241062184,0.13355824568366736,0.34910690482537987,0.45695204377212745,0.4481707317073171,0.4101157830591103,0.41120925982333234,0.39881224303334856,0.34587977343321763,0.017423254711390303,0.07976768993718146,0.16000948204338034,0.31041839516415787,0.6731065544624867
4,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-12-30 00:00:00'))","(Timestamp('2012-12-31 00:00:00'), Timestamp('2013-06-29 00:00:00'))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=1,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 50, 'subsample': 0.5}",0.3148824100170956,0.6462275916693865,0.635216929261193,0.5757057709190039,0.5973755948805618,0.00025326073192351523,0.175895180831015,0.5058970288047177,0.004629629629629629,0.0009242144177449168,0.0004621072088724584,0.22643253234750463,0.41225395065151094,0.0001467351430667645,0.0001467351430667645,0.0001467351430667645,0.1438004402054292,0.6545854732208364
5,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-12-30 00:00:00'))","(Timestamp('2012-12-31 00:00:00'), Timestamp('2013-06-29 00:00:00'))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=1,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 100, 'subsample': 0.5}",0.3148824100170956,0.6566490573939452,0.635216929261193,0.6794806634939703,0.6022732523217669,0.00025326073192351523,0.3774566992730862,0.511907462009526,0.004629629629629629,0.0009242144177449168,0.0004621072088724584,0.48590573012939003,0.41715183439608167,0.0001467351430667645,0.0001467351430667645,0.0001467351430667645,0.3085840058694057,0.662362435803375
6,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-12-30 00:00:00'))","(Timestamp('2012-12-31 00:00:00'), Timestamp('2013-06-29 00:00:00'))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=1,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 50, 'subsample': 0.5}",0.3148824100170956,0.6737720233834147,0.6823453310539205,0.6815136533752253,0.6109596636325832,0.1294162340129163,0.3814053665978641,0.522567475618054,0.4444444444444444,0.4722735674676525,0.49491682070240295,0.4909889094269871,0.4258386470751317,0.01408657373440939,0.07498165810711666,0.15715333822450478,0.3118121790168745,0.6761555392516507
7,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-12-30 00:00:00'))","(Timestamp('2012-12-31 00:00:00'), Timestamp('2013-06-29 00:00:00'))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=1,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 100, 'subsample': 0.5}",0.3148824100170956,0.6803990329018033,0.6874278057570578,0.6846555468280737,0.6148408261331608,0.14334557426870964,0.38750785246343,0.5273304604218644,0.5462962962962963,0.5231053604436229,0.5087800369685767,0.49884473197781887,0.4297199889104519,0.017314746881878208,0.0830520909757887,0.1615553925165077,0.31680117388114454,0.6823184152604549
8,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2013-06-30 00:00:00'))","(Timestamp('2013-07-01 00:00:00'), Timestamp('2013-12-31 00:00:00'))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=1,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 50, 'subsample': 0.5}",0.28464690832522016,0.6516884055011987,0.6654062988203863,0.5765843276654515,0.6007199945660787,0.00013531799729364006,0.12632562485400609,0.4911268215264753,0.0022675736961451248,0.0004528985507246377,0.00022644927536231884,0.153062379712442,0.3853643073857719,7.954183900731785e-05,7.954183900731785e-05,7.954183900731785e-05,0.10754056633789373,0.6769010499522748
9,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2013-06-30 00:00:00'))","(Timestamp('2013-07-01 00:00:00'), Timestamp('2013-12-31 00:00:00'))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=1,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 100, 'subsample': 0.5}",0.28464690832522016,0.6574041783294043,0.6654062988203863,0.6520705504109403,0.5947426811873118,0.00013531799729364006,0.28208362532118664,0.4835088731784735,0.0022675736961451248,0.0004528985507246377,0.00022644927536231884,0.3417864825087739,0.37938685866956484,7.954183900731785e-05,7.954183900731785e-05,7.954183900731785e-05,0.24013681196309258,0.6664015272033089
